name,mass,radius,right_ascension,declination,distance
HD 149806 b,12.2018,1.1,249.28750000000002,0.25472222222222224,20.2727
WASP-87 b,2.18,1.385,185.32469749999998,-51.15916683333333,299.0
WASP-73 b,1.88,1.16,319.94961041666664,-57.85111305555556,319.57
WASP-54 b,0.636,1.653,205.45429208333334,0.12806491666666667,200.0
TOI-858 B b,1.1,1.255,60.2,-53.40722222222222,250.489
WASP-69 b,0.26,1.057,315.0258204166667,-4.905545277777778,50.0
HATS-74A b,1.46,1.032,171.01666666666668,-18.442777777777778,286.6
WASP-175 b,0.99,1.208,166.31892583333334,-33.87722875,584.0
HD 18143 b,0.03307,0.288,43.912499999999994,26.8725,22.5243
HD 18143 c,9.80228,1.11,43.912499999999994,26.8725,22.5243
Kepler-1818 b,0.0113,0.153,284.32916666666665,40.56888888888889,1034.59
WASP-104 b,1.272,1.137,160.6025083333333,7.435081833333333,143.0
TOI-172 b,5.42,0.965,316.6333333333334,-25.307222222222222,336.47
K2-285 b,0.03046,0.231,349.3842808333333,1.3002980277777778,155.65
K2-285 c,0.04933,0.315,349.3842808333333,1.3002980277777778,155.65
K2-285 d,0.02045,0.221,349.3842808333333,1.3002980277777778,155.65
K2-285 e,0.03367,0.174,349.3842808333333,1.3002980277777778,155.65
TOI-4603 b,12.89,1.042,83.86666666666667,21.29416666666667,225.643
WASP-77 A b,1.76,1.21,37.15416666666667,-6.939444444444445,93.0
HATS-19 b,0.427,1.66,147.4067433333333,-32.21861111111111,780.0
2MASS J2117-2940,7.0,1.38,319.30962500000004,-28.332383333333333,16.9
CoRoT-24 c,0.088,0.44,101.92254833333334,-2.280698972222222,600.0
WASP-65 b,1.55,1.112,133.3242858333333,8.523003111111112,310.0
HAT-P-58 b,0.372,1.332,68.84659500000001,56.868217972222226,515.59
Kepler-1992 b,0.00218,0.092,295.0916666666667,45.08111111111111,532.955
K2-355 b,0.0179,0.201,124.64166666666668,13.502777777777778,500.497
TOI-2641 b,0.386,1.615,171.1291666666667,-41.26777777777777,344.045
TrES-5 b,1.778,1.209,305.22186791666667,59.44877066666666,360.0
TOI-1478 b,0.847,1.06,126.43333333333332,-12.440277777777776,153.0
HAT-P-68 b,0.724,1.072,118.73333333333333,23.938333333333333,202.0
TOI-2587 A b,0.218,1.077,115.93333333333334,-0.9266666666666666,373.675
HAT-P-8 b,1.275,1.321,343.04166666666663,35.447222222222216,230.0
CoRoT-8 b,0.22,0.57,291.5885108333333,1.426438361111111,380.0
